<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	01:00:00	5301.45	5363.96	5300.12	5315.48	201	0	30
2026.03.02	01:01:00	5315.04	5328.43	5302.59	5318.67	484	0	159
2026.03.02	01:02:00	5318.71	5338.80	5314.40	5333.73	478	0	154
2026.03.02	01:03:00	5333.87	5358.41	5333.87	5351.17	511	0	114
2026.03.02	01:04:00	5351.82	5361.23	5351.51	5356.99	110	0	114
2026.03.02	01:05:00	5363.83	5373.76	5360.87	5366.98	317	0	59
2026.03.02	01:06:00	5367.01	5372.57	5333.32	5341.85	530	0	147
2026.03.02	01:07:00	5342.87	5347.94	5327.72	5339.93	476	0	238
2026.03.02	01:08:00	5339.99	5350.68	5336.91	5343.53	455	0	146
2026.03.02	01:09:00	5343.59	5358.80	5342.84	5350.55	452	0	200
2026.03.02	01:10:00	5350.19	5356.02	5349.53	5350.49	414	0	182
2026.03.02	01:11:00	5349.72	5350.60	5339.51	5342.95	346	0	206
2026.03.02	01:12:00	5343.01	5353.61	5342.47	5352.91	337	0	198
2026.03.02	01:13:00	5352.99	5356.85	5347.35	5355.13	245	0	173
2026.03.02	01:14:00	5353.46	5355.13	5342.13	5346.77	258	0	223
2026.03.02	01:15:00	5346.43	5351.65	5344.93	5349.01	270	0	146
2026.03.02	01:16:00	5349.01	5350.26	5342.78	5349.08	193	0	171
2026.03.02	01:17:00	5349.28	5351.53	5348.08	5349.73	178	0	194
2026.03.02	01:18:00	5349.73	5357.67	5349.73	5354.84	247	0	177
2026.03.02	01:19:00	5354.84	5354.84	5346.03	5346.14	226	0	141
2026.03.02	01:20:00	5346.18	5350.03	5343.08	5343.13	258	0	161
2026.03.02	01:21:00	5343.03	5351.85	5343.01	5350.63	302	0	124
2026.03.02	01:22:00	5350.75	5353.81	5345.84	5352.06	163	0	153
2026.03.02	01:23:00	5352.06	5355.03	5348.61	5355.03	201	0	148
2026.03.02	01:24:00	5355.03	5355.03	5349.60	5350.04	197	0	176
2026.03.02	01:25:00	5350.11	5354.23	5348.84	5353.03	233	0	148
2026.03.02	01:26:00	5354.16	5355.51	5350.85	5352.15	181	0	171
2026.03.02	01:27:00	5352.13	5354.36	5350.25	5351.34	263	0	146
2026.03.02	01:28:00	5351.34	5355.63	5350.05	5355.33	176	0	165
2026.03.02	01:29:00	5355.24	5356.57	5351.74	5354.95	253	0	149
2026.03.02	01:30:00	5354.05	5360.30	5353.00	5358.95	282	0	53
2026.03.02	01:31:00	5358.75	5366.10	5356.70	5365.29	311	0	45
2026.03.02	01:32:00	5365.33	5370.34	5363.11	5365.14	365	0	30
2026.03.02	01:33:00	5365.05	5365.56	5361.82	5365.31	209	0	46
2026.03.02	01:34:00	5365.18	5368.75	5364.30	5367.00	236	0	50
2026.03.02	01:35:00	5366.95	5367.55	5363.42	5363.73	173	0	65
2026.03.02	01:36:00	5363.74	5368.43	5363.56	5368.04	210	0	48
2026.03.02	01:37:00	5368.09	5375.02	5367.73	5375.02	263	0	50
2026.03.02	01:38:00	5375.12	5380.26	5371.80	5376.14	379	0	51
2026.03.02	01:39:00	5376.05	5377.48	5369.76	5376.95	283	0	51
2026.03.02	01:40:00	5376.94	5380.99	5374.72	5379.36	311	0	50
2026.03.02	01:41:00	5379.03	5388.56	5377.32	5384.57	380	0	51
2026.03.02	01:42:00	5384.44	5393.28	5381.75	5384.98	482	0	48
2026.03.02	01:43:00	5384.70	5387.87	5377.55	5383.53	394	0	53
2026.03.02	01:44:00	5383.52	5384.55	5379.92	5382.15	318	0	54
2026.03.02	01:45:00	5382.06	5382.55	5374.11	5378.25	397	0	53
2026.03.02	01:46:00	5378.30	5386.73	5377.73	5383.11	411	0	54
2026.03.02	01:47:00	5383.11	5385.87	5379.57	5385.27	316	0	49
2026.03.02	01:48:00	5385.33	5386.28	5381.89	5383.67	397	0	53
2026.03.02	01:49:00	5383.77	5387.45	5383.70	5387.28	201	0	51
2026.03.02	01:50:00	5387.32	5387.98	5382.40	5385.06	281	0	53
2026.03.02	01:51:00	5385.07	5385.27	5381.70	5381.93	179	0	54
2026.03.02	01:52:00	5381.87	5385.44	5381.87	5385.32	199	0	53
2026.03.02	01:53:00	5385.33	5389.01	5382.74	5385.84	223	0	53
2026.03.02	01:54:00	5385.82	5390.41	5383.89	5388.77	373	0	52
2026.03.02	01:55:00	5388.80	5388.96	5380.84	5380.84	281	0	65
2026.03.02	01:56:00	5380.79	5387.45	5377.96	5386.88	394	0	52
2026.03.02	01:57:00	5386.89	5390.28	5386.89	5387.45	230	0	53
2026.03.02	01:58:00	5387.66	5389.90	5382.57	5384.11	270	0	51
2026.03.02	01:59:00	5384.05	5389.01	5383.32	5386.86	223	0	53
2026.03.02	02:00:00	5386.87	5387.96	5378.98	5381.18	366	0	48
2026.03.02	02:01:00	5381.21	5382.65	5371.55	5375.07	321	0	52
2026.03.02	02:02:00	5375.06	5375.40	5367.09	5371.42	433	0	54
2026.03.02	02:03:00	5371.44	5381.54	5370.67	5381.04	370	0	53
2026.03.02	02:04:00	5381.02	5381.02	5375.43	5376.41	367	0	50
2026.03.02	02:05:00	5376.42	5379.22	5370.90	5372.92	467	0	50
2026.03.02	02:06:00	5372.93	5374.98	5369.40	5372.19	342	0	52
2026.03.02	02:07:00	5372.41	5376.68	5372.10	5372.30	305	0	51
2026.03.02	02:08:00	5372.08	5373.47	5368.51	5370.25	292	0	49
2026.03.02	02:09:00	5370.15	5371.51	5364.11	5367.40	367	0	52
2026.03.02	02:10:00	5367.41	5371.38	5367.06	5369.81	429	0	52
2026.03.02	02:11:00	5369.78	5374.86	5369.65	5372.68	373	0	53
2026.03.02	02:12:00	5372.78	5377.64	5372.74	5375.38	358	0	53
2026.03.02	02:13:00	5375.46	5377.73	5373.81	5375.69	316	0	46
2026.03.02	02:14:00	5375.55	5377.04	5374.35	5375.80	198	0	54
2026.03.02	02:15:00	5375.81	5375.81	5372.50	5372.50	165	0	53
2026.03.02	02:16:00	5371.13	5371.79	5365.62	5366.59	250	0	52
2026.03.02	02:17:00	5366.65	5367.51	5359.19	5366.38	344	0	54
2026.03.02	02:18:00	5366.37	5366.81	5360.21	5360.78	330	0	49
2026.03.02	02:19:00	5360.77	5363.94	5358.90	5359.70	381	0	54
2026.03.02	02:20:00	5360.06	5362.11	5352.87	5356.51	328	0	52
2026.03.02	02:21:00	5356.61	5357.62	5349.20	5356.79	387	0	54
2026.03.02	02:22:00	5356.77	5363.92	5354.26	5363.77	281	0	52
2026.03.02	02:23:00	5363.82	5365.18	5361.28	5365.00	317	0	54
2026.03.02	02:24:00	5365.02	5365.49	5361.77	5363.06	223	0	54
2026.03.02	02:25:00	5363.05	5366.21	5361.66	5362.26	325	0	52
2026.03.02	02:26:00	5362.30	5362.43	5353.93	5354.92	316	0	50
2026.03.02	02:27:00	5354.81	5357.53	5352.82	5355.34	238	0	54
2026.03.02	02:28:00	5355.35	5363.43	5355.35	5362.76	232	0	51
2026.03.02	02:29:00	5362.81	5364.65	5359.53	5364.44	288	0	65
2026.03.02	02:30:00	5364.49	5368.41	5363.41	5364.89	260	0	53
2026.03.02	02:31:00	5364.88	5365.38	5359.71	5361.23	308	0	50
2026.03.02	02:32:00	5361.25	5363.60	5359.37	5362.65	263	0	50
2026.03.02	02:33:00	5362.60	5368.69	5362.60	5368.19	273	0	46
2026.03.02	02:34:00	5368.18	5373.07	5367.49	5368.40	328	0	47
2026.03.02	02:35:00	5368.50	5370.87	5366.01	5366.22	273	0	54
2026.03.02	02:36:00	5366.23	5369.06	5366.08	5366.28	214	0	53
2026.03.02	02:37:00	5366.18	5367.83	5365.53	5366.38	204	0	53
2026.03.02	02:38:00	5366.28	5369.43	5365.94	5369.36	169	0	54
2026.03.02	02:39:00	5369.39	5373.17	5368.63	5372.10	300	0	51
2026.03.02	02:40:00	5371.96	5372.25	5369.02	5370.56	216	0	53
2026.03.02	02:41:00	5370.57	5371.32	5369.62	5369.99	177	0	54
2026.03.02	02:42:00	5370.00	5370.06	5362.88	5365.94	238	0	50
2026.03.02	02:43:00	5365.86	5367.08	5362.24	5364.03	242	0	49
2026.03.02	02:44:00	5364.02	5366.98	5363.39	5365.34	178	0	53
2026.03.02	02:45:00	5365.44	5365.96	5361.58	5365.05	228	0	48
2026.03.02	02:46:00	5365.01	5365.01	5361.24	5363.18	153	0	52
2026.03.02	02:47:00	5363.17	5365.08	5362.91	5364.22	107	0	48
2026.03.02	02:48:00	5364.21	5366.07	5362.70	5365.96	211	0	52
2026.03.02	02:49:00	5365.85	5365.85	5363.45	5364.71	142	0	52
2026.03.02	02:50:00	5364.70	5365.09	5357.95	5358.28	221	0	48
